INFO:root:Plant at (2, 9) was eaten by Herbivore.
INFO:root:Herbivore at (7, 11) was eaten by Predator.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:New Herbivore born at (2, 8).
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (7, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Herbivore at (2, 8) was eaten by Predator.
INFO:root:Herbivore at (3, 8) was eaten by Predator.
INFO:root:Cell Herbivore at (2, 8) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 8) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 9) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (6, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Plant at (3, 12) was eaten by Herbivore.
INFO:root:Cell Herbivore at (1, 7) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (3, 9) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 10) died.
INFO:root:New Herbivore born at (4, 10).
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (3, 12) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (5, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Herbivore at (4, 10) was eaten by Predator.
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (4, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (4, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Herbivore at (4, 11) was eaten by Predator.
INFO:root:Cell Herbivore at (0, 5) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Plant at (2, 11) died.
INFO:root:Cell Herbivore at (3, 9) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (4, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (2, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (2, 11) died.
INFO:root:Cell Herbivore at (2, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 11) died.
INFO:root:Cell Herbivore at (3, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (0, 5) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Plant at (2, 10) died.
INFO:root:Cell Herbivore at (2, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 12) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 13) died.
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Plant at (2, 10) died.
INFO:root:Cell Herbivore at (2, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (0, 7) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore at (1, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 13) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (2, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (2, 11) died.
INFO:root:Cell Herbivore at (2, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (0, 13) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 12) died.
INFO:root:Cell Herbivore at (1, 13) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Herbivore at (2, 10) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (2, 11) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (3, 10) died.
INFO:root:Cell Herbivore at (3, 11) died.
INFO:root:Cell Predator at (3, 14) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator at (4, 10) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Predator at (5, 10) died.
INFO:root:Cell Predator at (7, 9) died.
INFO:root:Cell Predator moved to (-1, -1).
INFO:root:Cell Herbivore at (0, 5) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 6) died.
INFO:root:Cell Herbivore at (1, 12) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Herbivore at (1, 13) died.
INFO:root:Cell Herbivore moved to (-1, -1).
INFO:root:Cell Plant at (2, 9) died.
INFO:root:Cell Plant at (2, 10) died.
INFO:root:Cell Predator at (2, 13) died.
INFO:root:Cell Predator moved to (-1, -1).
